,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,beringovskiy,100,RU,2019-06-25,96,63.05,179.32,44.15,9.7043202
1,kapaa,75,US,2019-06-25,88,22.08,-159.32,77.0,6.598293999999999
2,mahebourg,75,MU,2019-06-25,88,-20.41,57.7,75.2,10.782578
3,punta arenas,90,CL,2019-06-25,96,-53.16,-70.91,32.0,3.379614
4,vila velha,75,BR,2019-06-25,74,-3.71,-38.6,80.6,15.771532
5,culpeper,1,US,2019-06-25,88,38.47,-78.0,71.99600000000005,3.4761744
6,rikitea,0,PF,2019-06-25,78,-23.12,-134.97,73.67000000000007,3.1703997999999998
7,belaya gora,35,RU,2019-06-25,20,68.54,146.19,83.03000000000004,5.2142616
8,maba,55,CN,2019-06-25,68,24.68,113.59,88.79000000000002,2.6232241999999997
9,cibitoke,75,BI,2019-06-25,66,-2.89,29.12,67.55000000000001,1.3518455999999999
10,alihe,90,CN,2019-06-25,60,50.57,123.73,66.47000000000006,7.4512442
11,cabo san lucas,5,MX,2019-06-25,47,22.89,-109.91,78.80000000000001,4.184284
12,bacolod,87,PH,2019-06-25,75,10.68,122.95,84.83000000000004,9.8491608
13,hobart,0,AU,2019-06-25,47,-42.88,147.33,59.0,4.184284
14,chokurdakh,0,RU,2019-06-25,23,70.62,147.9,77.45,8.2559142
15,mataura,73,NZ,2019-06-25,80,-46.19,168.86,51.00800000000001,2.8807186000000002
16,liepaja,100,LV,2019-06-25,72,56.52,21.02,69.80000000000001,2.41401
17,katakwi,12,UG,2019-06-25,80,1.91,33.96,70.97000000000006,1.7863674
18,bhatkal,79,IN,2019-06-25,79,13.97,74.57,82.49000000000002,8.5938756
19,khatanga,100,RU,2019-06-25,79,71.98,102.47,50.99000000000002,8.449035
20,keflavik,90,IS,2019-06-25,93,64.0,-22.56,51.8,14.966862
21,saint-philippe,1,CA,2019-06-25,77,45.36,-73.48,69.80000000000001,5.7453438
22,cockburn town,0,TC,2019-06-25,80,21.46,-71.14,80.69000000000003,9.5916664
23,peniche,90,PT,2019-06-25,100,39.36,-9.38,64.00400000000005,1.60934
24,bambous virieux,75,MU,2019-06-25,88,-20.34,57.76,75.2,10.782578
25,arona,75,IT,2019-06-25,83,45.76,8.56,80.99600000000005,2.41401
26,spruce grove,75,CA,2019-06-25,93,53.55,-113.9,57.2,2.41401
27,aklavik,75,CA,2019-06-25,65,68.22,-135.01,41.0,4.9889540000000006
28,new norfolk,0,AU,2019-06-25,47,-42.78,147.06,59.0,4.184284
29,san cristobal,90,EC,2019-06-25,93,-0.39,-78.55,55.400000000000006,1.60934
30,ribeira grande,96,PT,2019-06-25,74,38.52,-28.7,65.39000000000001,11.8125556
31,albany,1,US,2019-06-25,93,42.65,-73.75,66.99199999999999,3.379614
32,bluff,62,AU,2019-06-25,73,-23.58,149.07,63.59000000000002,17.7993004
33,grand-santi,78,GF,2019-06-25,99,4.27,-54.38,70.97000000000006,0.5793623999999999
34,sur,0,OM,2019-06-25,42,22.57,59.53,94.19000000000003,1.1104446
35,hermanus,53,ZA,2019-06-25,88,-34.42,19.24,57.992,2.1565156
36,bredasdorp,77,ZA,2019-06-25,82,-34.53,20.04,60.8,5.793624
37,ushuaia,75,AR,2019-06-25,92,-54.81,-68.31,30.2,3.379614
38,cape town,0,ZA,2019-06-25,76,-33.93,18.42,59.0,4.184284
39,sahuaripa,23,MX,2019-06-25,37,29.05,-109.23,71.51000000000008,1.9794882
40,yellowknife,20,CA,2019-06-25,51,62.45,-114.38,62.6,2.41401
41,busselton,46,AU,2019-06-25,58,-33.64,115.35,68.0,27.761115
42,east london,0,ZA,2019-06-25,93,-33.02,27.91,57.2,2.41401
43,ukiah,57,US,2019-06-25,63,39.15,-123.21,60.998000000000026,0.9173237999999999
44,kodiak,1,US,2019-06-25,74,39.95,-94.76,78.99800000000002,12.391918
45,mumbwa,0,ZM,2019-06-25,54,-14.99,27.06,61.97000000000006,8.0627934
46,whitehorse,75,CA,2019-06-25,48,60.72,-135.06,66.2,1.60934
47,tuktoyaktuk,90,CA,2019-06-25,83,69.44,-133.03,37.4,14.966862
48,lillehammer,100,NO,2019-06-25,93,61.11,10.47,55.99400000000007,1.4805928000000002
49,barrow,50,AR,2019-06-25,52,-38.31,-60.23,40.37000000000006,10.3963364
50,rawlins,1,US,2019-06-25,36,41.79,-107.24,60.8,3.379614
51,victoria,75,BN,2019-06-25,70,5.28,115.24,89.6,1.60934
52,piranhas,0,BR,2019-06-25,64,-16.43,-51.82,63.41000000000008,0.8690436
